split,stage,IoU,F1,Precision,Recall,AP,MCC
validation,threshold_selected,0.49107530444581443,0.6586861163500931,0.6166221124813251,0.706909231676447,0.7255526506785077,0.609191939672205
test,tta_postprocessed,0.1416670492954976,0.24817576553028933,0.17351277690022415,0.43562732375883745,,0.23997931956785049
